keys,fr,en
"Sentinelle des Remparts","Sentinelle des Remparts","Rampart Sentinel"
"REMPART, FORTIFICATION","REMPART, FORTIFICATION","TAUNT, FORTIFICATION"
"On a essayé de le faire reculer. On a essayé de le renvoyer. On a abandonné.","On a essayé de le faire reculer. On a essayé de le renvoyer. On a abandonné.","They tried to push him back. They tried to send him away. They gave up."
"Sergent de Troupe","Sergent de Troupe","Troop Sergeant"
"Arrivée : Les serviteurs Humains alliés en rangée Avant gagnent +0/+1 jusqu'à la fin du tour.","Arrivée : Les serviteurs Humains alliés en rangée Avant gagnent +0/+1 jusqu'à la fin du tour.","Arrival: Allied Human minions in the Front row gain +0/+1 until end of turn."
"Sa voix porte plus loin que le bruit du combat. C'est pour ça qu'il est encore en vie.","Sa voix porte plus loin que le bruit du combat. C'est pour ça qu'il est encore en vie.","His voice carries farther than the din of battle. That is why he is still alive."
"Serment du Sang","Serment du Sang","Blood Oath"
"Deuil : Quand un Humain allié meurt, le serviteur allié adjacent gagne +1/+1.","Deuil : Quand un Humain allié meurt, le serviteur allié adjacent gagne +1/+1.","Mourning: When an allied Human dies, the adjacent allied minion gains +1/+1."
"Le serment survit à celui qui l'a fait. C'est l'idée.","Le serment survit à celui qui l'a fait. C'est l'idée.","The oath outlives the one who swore it. That is the point."
"Servant Décharné","Servant Décharné","Gaunt Servant"
"Attaque : Vos serviteurs en rangée Avant gagnent +0/+1 jusqu'à la fin du tour.","Attaque : Vos serviteurs en rangée Avant gagnent +0/+1 jusqu'à la fin du tour.","Attack: Your Front row minions gain +0/+1 until end of turn."
"Il ne commande pas. Il pousse. Et ça suffit.","Il ne commande pas. Il pousse. Et ça suffit.","He does not command. He pushes. And that is enough."
"Soldat Réanimé","Soldat Réanimé","Reanimated Soldier"
"REVENANT","REVENANT","REVENANT"
"La mort lui a appris ce que la guerre ne lui avait pas enseigné : la patience.","La mort lui a appris ce que la guerre ne lui avait pas enseigné : la patience.","Death taught him what war never did: patience."
"Soldat de la Foi","Soldat de la Foi","Soldier of Faith"
"ÉGIDE
Dernier Souffle : Invoque un Milicien du Bourg 2/1 en rangée Avant.","ÉGIDE
Dernier Souffle : Invoque un Milicien du Bourg 2/1 en rangée Avant.","AEGIS
Deathrattle: Summon a Town Militia 2/1 in the Front row."
"Il croyait en quelque chose. Ce quelque chose l'a protégé, une fois.","Il croyait en quelque chose. Ce quelque chose l'a protégé, une fois.","He believed in something. That something protected him, once."
"Souffle Nécrotique","Souffle Nécrotique","Necrotic Breath"
"Inflige 2 points de dégâts à la cible (joueur ou serviteur ennemi).","Inflige 2 points de dégâts à la cible (joueur ou serviteur ennemi).","Deal 2 damage to the target (enemy hero or minion)."
"Inflige 2 dégâts à un serviteur ennemi ciblé.","Inflige 2 dégâts à un serviteur ennemi ciblé.","Deal 2 damage to target enemy minion."
"Ce n'est pas du vent. C'est ce qui reste quand les poumons ne servent plus à rien.","Ce n'est pas du vent. C'est ce qui reste quand les poumons ne servent plus à rien.","It is not wind. It is what remains when lungs no longer serve any purpose."
"Souffle du Charnier","Souffle du Charnier","Charnel Breath"
"Un Mort-Vivant allié ciblé gagne +0/+2.","Un Mort-Vivant allié ciblé gagne +0/+2.","Target allied Undead gains +0/+2."
"Ce qui ne peut pas mourir davantage peut encore endurcir.","Ce qui ne peut pas mourir davantage peut encore endurcir.","What can die no further can still harden."
"Stratège Royal","Stratège Royal","Royal Strategist"
"Il ne voit pas un champ de bataille. Il voit un problème à résoudre.","Il ne voit pas un champ de bataille. Il voit un problème à résoudre.","He does not see a battlefield. He sees a problem to solve."
"Symbiose Cadavérique","Symbiose Cadavérique","Cadaverous Symbiosis"
"Présence : Vos serviteurs en rangée Arrière gagnent +0/+1 par serviteur allié en rangée Avant.","Présence : Vos serviteurs en rangée Arrière gagnent +0/+1 par serviteur allié en rangée Avant.","Presence: Your Back row minions gain +0/+1 for each allied minion in the Front row."
"Les morts de devant protègent les morts de derrière. C'est le seul lien qui reste.","Les morts de devant protègent les morts de derrière. C'est le seul lien qui reste.","The dead in front protect the dead behind. It is the only bond that remains."
"Temple de Guerre","Temple de Guerre","War Temple"
"Renfort : Chaque serviteur allié invoqué gagne +1/+1 de façon permanente.","Renfort : Chaque serviteur allié invoqué gagne +1/+1 de façon permanente.","Reinforcement: Each summoned allied minion permanently gains +1/+1."
"On ne vient pas y prier. On vient y apprendre à tenir sa place dans la ligne.","On ne vient pas y prier. On vient y apprendre à tenir sa place dans la ligne.","You do not come here to pray. You come to learn to hold your place in the line."
"Tombeau Ambulant","Tombeau Ambulant","Walking Tomb"
"REMPART
Dernier Souffle : Invoque 3 Rampants 1/1 en rangée Avant.","REMPART
Dernier Souffle : Invoque 3 Rampants 1/1 en rangée Avant.","TAUNT
Deathrattle: Summon 3 Crawlers 1/1 in the Front row."
"Il n'était pas un monstre. Il était une fosse commune.","Il n'était pas un monstre. Il était une fosse commune.","He was not a monster. He was a mass grave."
"Vague de Putréfaction","Vague de Putréfaction","Wave of Putrefaction"
"Inflige 1 dégât à tous les serviteurs ennemis en rangée Avant.","Inflige 1 dégât à tous les serviteurs ennemis en rangée Avant.","Deal 1 damage to all enemy minions in the Front row."
"La peste ne choisit pas. Elle couvre.","La peste ne choisit pas. Elle couvre.","The plague does not choose. It covers."
"Volée de Flèches","Volée de Flèches","Arrow Volley"
"Inflige 1 dégât à tous les serviteurs ennemis en rangée Avant.
Si 4 ou plus en rangée Avant : 2 dégâts à la place.","Inflige 1 dégât à tous les serviteurs ennemis en rangée Avant.
Si 4 ou plus en rangée Avant : 2 dégâts à la place.","Deal 1 damage to all enemy minions in the Front row.
If 4 or more in the Front row: 2 damage instead."
"Plus ils sont nombreux, plus ça fait de cibles.","Plus ils sont nombreux, plus ça fait de cibles.","The more of them there are, the more targets there are."
"Vortex des Âmes","Vortex des Âmes","Vortex of Souls"
"Carnage : Gagne 1 mana temporaire ce tour.","Carnage : Gagne 1 mana temporaire ce tour.","Carnage: Gain 1 temporary mana this turn."
"Les âmes qui s'y perdent alimentent quelque chose que personne ne comprend vraiment.","Les âmes qui s'y perdent alimentent quelque chose que personne ne comprend vraiment.","The souls lost in it feed something no one truly understands."
"Vétéran des Marches","Vétéran des Marches","March Veteran"
"Blessure : Gagne +1/+0 de façon permanente.","Blessure : Gagne +1/+0 de façon permanente.","Wounded: Permanently gains +1/+0."
"Chaque cicatrice lui a appris quelque chose. Il en a beaucoup appris.","Chaque cicatrice lui a appris quelque chose. Il en a beaucoup appris.","Every scar taught him something. He learned a great deal."
"Zombie Bouclier","Zombie Bouclier","Shield Zombie"
"REMPART
Blessure : Réduit de 1 les dégâts reçus (minimum 1).","REMPART
Blessure : Réduit de 1 les dégâts reçus (minimum 1).","TAUNT
Wounded: Reduce damage taken by 1 (minimum 1)."
"Les lames s'enfoncent dans la chair morte et s'y perdent.","Les lames s'enfoncent dans la chair morte et s'y perdent.","Blades sink into the dead flesh and are lost in it."
"Zombie Mineur","Zombie Mineur","Minor Zombie"
"Il était enfant. C'était avant.","Il était enfant. C'était avant.","He was a child. That was before."
"Zombie","Zombie","Zombie"
"Ni vivant, ni mort. Juste debout.","Ni vivant, ni mort. Juste debout.","Neither alive nor dead. Just standing."
"Éclaireur Infiltré","Éclaireur Infiltré","Infiltrator Scout"
"Arrivée : révèle tous les serviteurs ennemis en rangée Arrière. Ils ne peuvent pas être ciblés par effets ce tour.","Arrivée : révèle tous les serviteurs ennemis en rangée Arrière. Ils ne peuvent pas être ciblés par effets ce tour.","Arrival: reveal all enemy minions in the Back row. They cannot be targeted by effects this turn."
"Il est allé voir. Il est revenu. Pas tout le monde n'en peut dire autant.","Il est allé voir. Il est revenu. Pas tout le monde n'en peut dire autant.","He went to look. He came back. Not everyone can say the same."
"Éclaireur Rapide","Éclaireur Rapide","Swift Scout"
"ASSAUT
Arrivée : Piochez 1 carte si la rangée Avant ennemie a 3 serviteurs ou plus.","ASSAUT
Arrivée : Piochez 1 carte si la rangée Avant ennemie a 3 serviteurs ou plus.","CHARGE
Arrival: Draw 1 card if the enemy Front row has 3 or more minions."
"Il revient toujours avec de mauvaises nouvelles. Il revient, c'est ce qui compte.","Il revient toujours avec de mauvaises nouvelles. Il revient, c'est ce qui compte.","He always comes back with bad news. He comes back, that is what matters."
"Éclat de Putréfaction","Éclat de Putréfaction","Shard of Putrefaction"
"Détruit un enchantement ou équipement ennemi. Si enchantement : invoque un Rampant 1/1.","Détruit un enchantement ou équipement ennemi. Si enchantement : invoque un Rampant 1/1.","Destroy an enemy enchantment or equipment. If an enchantment: summon a 1/1 Crawler."
"La corruption ne respecte pas la magie. Elle la digère.","La corruption ne respecte pas la magie. Elle la digère.","Corruption does not respect magic. It digests it."
"Émissaire de la Peste","Émissaire de la Peste","Plague Emissary"
"Il ne vient pas combattre. Il vient annoncer.","Il ne vient pas combattre. Il vient annoncer.","He does not come to fight. He comes to announce."
"Arrivée : -2 ATK à un serviteur ennemi ciblé jusqu'à fin du tour adverse.","Arrivée : -2 ATK à un serviteur ennemi ciblé jusqu'à fin du tour adverse.","Arrival: -2 ATK to target enemy minion until the end of the enemy turn."
"Épidémie","Épidémie","Epidemic"
"Présence : Serviteurs non Mort-Vivants ennemis -1/-1.","Présence : Serviteurs non Mort-Vivants ennemis -1/-1.","Presence: Enemy non-Undead minions -1/-1."
"Elle ne tue pas. Elle prépare, jour après jour.","Elle ne tue pas. Elle prépare, jour après jour.","It does not kill. It prepares, day after day."
"Étreinte Glaciale","Étreinte Glaciale","Icy Embrace"
"Gèle un serviteur ennemi ciblé un tour. (L'Infection continue.)","Gèle un serviteur ennemi ciblé un tour. (L'Infection continue.)","Freeze target enemy minion for one turn. (Infection continues.)"
"Le froid stoppe les gestes. Pas le mal qui ronge de l'intérieur.","Le froid stoppe les gestes. Pas le mal qui ronge de l'intérieur.","The cold stops movement. Not the rot that gnaws from within."
"Larve Infernale","Larve Infernale","Hellspawn Larva"
"Pacte 1 : Ce serviteur gagne +1/+1 de façon permanente.","Pacte 1 : Ce serviteur gagne +1/+1 de façon permanente.","Pact 1: This minion permanently gains +1/+1."
"Elle ne demande rien. Elle prend juste sa part avant même d'arriver.","Elle ne demande rien. Elle prend juste sa part avant même d'arriver.","It asks for nothing. It simply takes its due before it even arrives."
"Suppôt des Abysses","Suppôt des Abysses","Abyssal Thrall"
"CORRUPTION","CORRUPTION","CORRUPTION"
"Une simple morsure, et déjà quelque chose s'effrite en toi.","Une simple morsure, et déjà quelque chose s'effrite en toi.","One small bite, and something in you is already crumbling."
"Gargouille de Cendres","Gargouille de Cendres","Ashen Gargoyle"
"REMPART, CHAIR DE SOUFRE","REMPART, CHAIR DE SOUFRE","TAUNT, SULFUR FLESH"
"Elle a regardé brûler des cathédrales entières sans ciller.","Elle a regardé brûler des cathédrales entières sans ciller.","It has watched entire cathedrals burn without so much as a flinch."
"Croc de Braise","Croc de Braise","Embermaw"
"Pacte 3 : Inflige 2 dégâts à un serviteur ennemi ciblé.","Pacte 3 : Inflige 2 dégâts à un serviteur ennemi ciblé.","Pact 3: Deal 2 damage to target enemy minion."
"Chaque morsure lui coûte, à toi aussi.","Chaque morsure lui coûte, à toi aussi.","Every bite costs it something, and costs you too."
"Chuchoteur Malin","Chuchoteur Malin","Whisperfiend"
"Arrivée : Piochez une carte.
Pacte 4 : Piochez une carte supplémentaire.","Arrivée : Piochez une carte.
Pacte 4 : Piochez une carte supplémentaire.","Arrival: Draw a card.
Pact 4: Draw an additional card."
"Il murmure une vérité. Elle a toujours un prix.","Il murmure une vérité. Elle a toujours un prix.","It whispers a truth. Truths always have a price."
"Sangsue Infernale","Sangsue Infernale","Hellleech"
"Arrivée : Regagnez 2 points de vie.
Pacte 1 : Vous regagnez 2 points de vie supplémentaires.","Arrivée : Regagnez 2 points de vie.
Pacte 1 : Vous regagnez 2 points de vie supplémentaires.","Arrival: Regain 2 HP.
Pact 1: You regain 2 additional HP."
"Elle ne mord jamais l'ennemi en premier. Elle commence toujours par toi, doucement.","Elle ne mord jamais l'ennemi en premier. Elle commence toujours par toi, doucement.","It never bites the enemy first. It always starts with you, gently."
"Séducteur Écarlate","Séducteur Écarlate","Crimson Tempter"
"Attaque : La cible perd 1 ATK de façon permanente (Corruption).","Attaque : La cible perd 1 ATK de façon permanente (Corruption).","Attack: The target permanently loses 1 ATK (Corruption)."
"Il ne promet rien. Il se contente de prendre, doucement.","Il ne promet rien. Il se contente de prendre, doucement.","It promises nothing. It simply takes, quietly."
"Harpie Carmine","Harpie Carmine","Carmine Harpy"
"TERREUR","TERREUR","TERROR"
"Son cri ne blesse pas. Il paralyse.","Son cri ne blesse pas. Il paralyse.","Its shriek does not wound. It paralyzes."
"Bourreau Mineur","Bourreau Mineur","Hellbound Executioner"
"Exécution : Ce serviteur gagne +1/+0 de façon permanente.
Pacte 1 : Ce serviteur gagne aussi +0/+1.","Exécution : Ce serviteur gagne +1/+0 de façon permanente.
Pacte 1 : Ce serviteur gagne aussi +0/+1.","Execution: This minion permanently gains +1/+0.
Pact 1: It also gains +0/+1."
"Chaque exécution le nourrit, et te vide un peu.","Chaque exécution le nourrit, et te vide un peu.","Every execution feeds it, and drains a little more of you."
"Sentinelle du Gouffre","Sentinelle du Gouffre","Abyssal Sentinel"
"REMPART.
Pacte 1 : Blessure : Ce serviteur regagne 1 point de vie.","REMPART.
Pacte 1 : Blessure : Ce serviteur regagne 1 point de vie.","TAUNT.
Pact 1: Wounded: This minion regains 1 HP."
"Elle boit la douleur des autres. La tienne fera l'affaire.","Elle boit la douleur des autres. La tienne fera l'affaire.","It drinks the pain of others. Yours will do just fine."
"Invocateur Novice","Invocateur Novice","Novice Summoner"
"Pacte 2 : Ce serviteur acquiert REMPART.","Pacte 2 : Ce serviteur acquiert REMPART.","Pact 2: This minion gains TAUNT."
"Son premier pacte. Il ne sait pas encore combien ça va coûter, au fil du temps.","Son premier pacte. Il ne sait pas encore combien ça va coûter, au fil du temps.","Its first pact. It has no idea yet what the toll will be, over time."
"Chasseur des Abysses","Chasseur des Abysses","Abyssal Stalker"
"CORRUPTION","CORRUPTION","CORRUPTION"
"Il ne tue pas toujours. Parfois, il préfère laisser pourrir.","Il ne tue pas toujours. Parfois, il préfère laisser pourrir.","It does not always kill. Sometimes it prefers to let things rot."
"Buveur de Souffrance","Buveur de Souffrance","Pain Drinker"
"SANG NOIR","SANG NOIR","BLACK BLOOD"
"Il ne ressent pas ta douleur. Il l'absorbe, littéralement.","Il ne ressent pas ta douleur. Il l'absorbe, littéralement.","It does not feel your pain. It absorbs it, quite literally."
"Émissaire du Pacte","Émissaire du Pacte","Pact Emissary"
"Arrivée : Piochez une carte.
Pacte 3 : Piochez une carte supplémentaire.","Arrivée : Piochez une carte.
Pacte 3 : Piochez une carte supplémentaire.","Arrival: Draw a card.
Pact 3: Draw an additional card."
"Il apporte toujours plus qu'il ne semble offrir, dans les deux sens.","Il apporte toujours plus qu'il ne semble offrir, dans les deux sens.","It always brings more than it seems to offer, in both directions."
"Bourreau des Flammes","Bourreau des Flammes","Flame Executioner"
"RAVAGE","RAVAGE","RAVAGE"
"Ce qu'il ne peut pas tuer, il l'incendie derrière lui.","Ce qu'il ne peut pas tuer, il l'incendie derrière lui.","What it cannot kill, it burns down behind it."
"Larve Ascendante","Larve Ascendante","Ascending Hellspawn"
"RANG INFERNAL","RANG INFERNAL","INFERNAL RANK"
"Elle grandit dans les cicatrices, pas dans la lumière.","Elle grandit dans les cicatrices, pas dans la lumière.","It grows in scar tissue, not in light."
"Titan de Cendres","Titan de Cendres","Ash Titan"
"REMPART
Dernier Souffle : Inflige 2 dégâts au héros adverse.
Pacte 2 : Inflige 1 dégât de plus.","REMPART
Dernier Souffle : Inflige 2 dégâts au héros adverse.
Pacte 2 : Inflige 1 dégât de plus.","TAUNT
Deathrattle: Deal 2 damage to the enemy hero.
Pact 2: Deal 1 more damage."
"Sa chute n'éteint rien. Elle propage juste l'incendie ailleurs.","Sa chute n'éteint rien. Elle propage juste l'incendie ailleurs.","Its fall extinguishes nothing. It simply spreads the fire elsewhere."
"Suppôt du Répit","Suppôt du Répit","Harbinger of Respite"
"Blessure : Votre héros regagne 1 point de vie.","Blessure : Votre héros regagne 1 point de vie.","Wounded: Your hero regains 1 HP."
"Chaque coup qu'il encaisse repart, transformé, vers celui qu'il protège.","Chaque coup qu'il encaisse repart, transformé, vers celui qu'il protège.","Every blow it takes returns, transformed, to the one it shields."
"Chevalier Déchu","Chevalier Déchu","Fallen Hellknight"
"Pacte 3 : Ce serviteur acquiert INFILTRATION.","Pacte 3 : Ce serviteur acquiert INFILTRATION.","Pact 3: This minion gains INFILTRATION."
"Son armure était sacrée, autrefois. Elle a changé de camp avec lui.","Son armure était sacrée, autrefois. Elle a changé de camp avec lui.","His armor was once sacred. It changed sides right along with him."
"Banshee des Abysses","Banshee des Abysses","Abyssal Banshee"
"Arrivée : inflige Corruption à un serviteur ennemi ciblé.","Arrivée : inflige Corruption à un serviteur ennemi ciblé.","Arrival: inflict Corruption on target enemy minion."
"Son chant ne tue personne. Il fait juste pourrir ce qui l'entend.","Son chant ne tue personne. Il fait juste pourrir ce qui l'entend.","Its song kills no one. It simply rots whatever hears it."
"Possédé Écarlate","Possédé Écarlate","Crimson Possessed"
"ASSAUT, TERREUR","ASSAUT, TERREUR","CHARGE, TERROR"
"Il ne réfléchit plus. Quelque chose réfléchit à sa place, et ça va vite.","Il ne réfléchit plus. Quelque chose réfléchit à sa place, et ça va vite.","It no longer thinks. Something thinks in its place, and it thinks fast."
"Cavalier des Flammes","Cavalier des Flammes","Flame Rider"
"ASSAUT
Arrivée : Ce serviteur gagne +2/+0 de façon permanente.
Pacte 2 : Ce serviteur gagne +2/+0 supplémentaires.","ASSAUT
Arrivée : Ce serviteur gagne +2/+0 de façon permanente.
Pacte 2 : Ce serviteur gagne +2/+0 supplémentaires.","CHARGE
Arrival: This minion permanently gains +2/+0.
Pact 2: This minion gains an additional +2/+0."
"Sa monture est morte au premier galop. Il n'a pas ralenti pour autant.","Sa monture est morte au premier galop. Il n'a pas ralenti pour autant.","His steed died at the first gallop. He never slowed down for it."
"Garde Infernal","Garde Infernal","Infernal Warden"
"REMPART
Dernier Souffle : Invoque une Larve Infernale 2/1.
Pacte 2 : Invoque une Larve Ascendante 1/2 (RANG INFERNAL) en Avant à la place.","REMPART
Dernier Souffle : Invoque une Larve Infernale 2/1.
Pacte 2 : Invoque une Larve Ascendante 1/2 (RANG INFERNAL) en Avant à la place.","TAUNT
Deathrattle: Summon a 2/1 Hellspawn Larva.
Pact 2: Summon a 1/2 Ascending Hellspawn (INFERNAL RANK) to the Front row instead."
"Il ne meurt jamais vraiment seul. Quelque chose se lève toujours après lui.","Il ne meurt jamais vraiment seul. Quelque chose se lève toujours après lui.","It never truly dies alone. Something always rises after it."
"Le Corrupteur","Le Corrupteur","The Corrupter"
"Arrivée : Inflige Corruption à tous les serviteurs ennemis en jeu.","Arrivée : Inflige Corruption à tous les serviteurs ennemis en jeu.","Arrival: Inflict Corruption on all enemy minions in play."
"Il n'a pas besoin de convaincre. Il lui suffit de rester assez longtemps.","Il n'a pas besoin de convaincre. Il lui suffit de rester assez longtemps.","It does not need to convince. It only needs to stay long enough."
"Ravageur des Flammes","Ravageur des Flammes","Inferno Ravager"
"RAVAGE, RANG INFERNAL","RAVAGE, RANG INFERNAL","RAVAGE, INFERNAL RANK"
"Plus ton héros saigne, plus il brûle fort.","Plus ton héros saigne, plus il brûle fort.","The more your hero bleeds, the fiercer it burns."
"Architecte du Pacte","Architecte du Pacte","Pact Architect"
"Arrivée : Invoque une Larve Infernale 2/1 en rangée Avant.
Pacte 2 : Invoque une Larve Ascendante 1/2 (RANG INFERNAL) en Avant à la place.","Arrivée : Invoque une Larve Infernale 2/1 en rangée Avant.
Pacte 2 : Invoque une Larve Ascendante 1/2 (RANG INFERNAL) en Avant à la place.","Arrival: Summon a 2/1 Hellspawn Larva to the Front row.
Pact 2: Summon a 1/2 Ascending Hellspawn (INFERNAL RANK) to the Front row instead."
"Chaque contrat qu'il signe en engendre un autre, sans fin.","Chaque contrat qu'il signe en engendre un autre, sans fin.","Every contract it signs spawns another, endlessly."
"Grand Inquisiteur du Sang","Grand Inquisiteur du Sang","Grand Blood Inquisitor"
"SANG NOIR, RANG INFERNAL","SANG NOIR, RANG INFERNAL","BLACK BLOOD, INFERNAL RANK"
"Plus tu payes, plus il devient difficile à ignorer.","Plus tu payes, plus il devient difficile à ignorer.","The more you pay, the harder it becomes to ignore."
"Suceur d'Âmes","Suceur d'Âmes","Soul Devourer"
"MOISSON
Arrivée : Vole 4 points de vie au héros ennemi.
Pacte 3 : Vole 2 points de vie supplémentaires.","MOISSON
Arrivée : Vole 4 points de vie au héros ennemi.
Pacte 3 : Vole 2 points de vie supplémentaires.","HARVEST
Arrival: Steal 4 HP from the enemy hero.
Pact 3: Steal 2 more HP."
"Il prélève des deux côtés. C'est ce qui rend le marché intéressant, pour lui.","Il prélève des deux côtés. C'est ce qui rend le marché intéressant, pour lui.","It takes from both sides. That is what makes the deal worthwhile, for it."
"Nuée de Tourments","Nuée de Tourments","Swarm of Torments"
"TERREUR
Arrivée : Inflige 1 dégât à tous les serviteurs ennemis en jeu.","TERREUR
Arrivée : Inflige 1 dégât à tous les serviteurs ennemis en jeu.","TERROR
Arrival: Deal 1 damage to all enemy minions in play."
"Elle ne mord pas fort. Elle mord partout, et longtemps.","Elle ne mord pas fort. Elle mord partout, et longtemps.","It does not bite hard. It bites everywhere, and for a long time."
"Faucheur des Abysses","Faucheur des Abysses","Abyss Reaper"
"Arrivée : détruit un serviteur ennemi ayant 3 HP ou moins ; ton héros perd 2 HP.","Arrivée : détruit un serviteur ennemi ayant 3 HP ou moins ; ton héros perd 2 HP.","Arrival: destroy an enemy minion with 3 HP or less; your hero loses 2 HP."
"Il choisit les plus faibles. Toi, tu paies pour son jugement.","Il choisit les plus faibles. Toi, tu paies pour son jugement.","It picks off the weakest. You are the one who pays for its judgment."
"Grand Prophète Écarlate","Grand Prophète Écarlate","Black Flame Prophet"
"CORRUPTION
Arrivée : Inflige Corruption à un serviteur ennemi ciblé.","CORRUPTION
Arrivée : Inflige Corruption à un serviteur ennemi ciblé.","CORRUPTION
Arrival: Inflict Corruption on target enemy minion."
"Ses visions ne mentent jamais. Elles s'assurent juste de se réaliser.","Ses visions ne mentent jamais. Elles s'assurent juste de se réaliser.","Its visions never lie. They simply make sure they come true."
"Assassin des Ombres Rouges","Assassin des Ombres Rouges","Crimson Shadow Assassin"
"INFILTRATION
Pacte 3 : Ce serviteur acquiert ÉGIDE.","INFILTRATION
Pacte 3 : Ce serviteur acquiert ÉGIDE.","INFILTRATION
Pact 3: This minion gains AEGIS."
"Il ne frappe jamais ce qu'on protège. Il frappe ce qu'on croyait à l'abri.","Il ne frappe jamais ce qu'on protège. Il frappe ce qu'on croyait à l'abri.","It never strikes what is guarded. It strikes what you thought was safe."
"Berserker du Pacte","Berserker du Pacte","Pact Berserker"
"FRÉNÉSIE
Pacte 3 : Ce serviteur acquiert ASSAUT.","FRÉNÉSIE
Pacte 3 : Ce serviteur acquiert ASSAUT.","FURY
Pact 3: This minion gains CHARGE."
"Chaque contrat qu'il signe le rend plus rapide, et toi plus vulnérable.","Chaque contrat qu'il signe le rend plus rapide, et toi plus vulnérable.","Every contract it signs makes it faster, and you more vulnerable."
"Trône de Cendres","Trône de Cendres","Ashen Throne"
"REMPART, RANG INFERNAL","REMPART, RANG INFERNAL","TAUNT, INFERNAL RANK"
"Il siège sur ce que ton héros a déjà perdu.","Il siège sur ce que ton héros a déjà perdu.","It sits upon everything your hero has already lost."
"Le Marchand d'Âmes","Le Marchand d'Âmes","The Soul Merchant"
"Éveil : Piochez une carte.
Pacte 2 : Piochez une carte supplémentaire.","Éveil : Piochez une carte.
Pacte 2 : Piochez une carte supplémentaire.","Awaken: Draw a card.
Pact 2: Draw an additional card."
"Il ne se bat pas. Il n'en a pas besoin, le contrat travaille pour lui, tour après tour.","Il ne se bat pas. Il n'en a pas besoin, le contrat travaille pour lui, tour après tour.","It does not fight. It does not need to, the contract works for it, turn after turn."
"Roi Démon Écarlate","Roi Démon Écarlate","Crimson Demon King"
"CORRUPTION
Arrivée : Inflige Corruption à tous les serviteurs ennemis.
Pacte 3 : Inflige une marque de Corruption supplémentaire.","CORRUPTION
Arrivée : Inflige Corruption à tous les serviteurs ennemis.
Pacte 3 : Inflige une marque de Corruption supplémentaire.","CORRUPTION
Arrival: Inflict Corruption on all enemy minions.
Pact 3: Inflict one more stack of Corruption."
"Son royaume ne s'étend pas par la conquête. Il s'étend par ce qu'il te fait accepter.","Son royaume ne s'étend pas par la conquête. Il s'étend par ce qu'il te fait accepter.","His kingdom does not grow through conquest. It grows through what it makes you accept."
"Apocalypse Infernale","Apocalypse Infernale","Infernal Apocalypse"
"RANG INFERNAL
Arrivée : Tous vos serviteurs Démons gagnent +2/+2 de façon permanente.
Pacte 5 : +2/+2 de plus.","RANG INFERNAL
Arrivée : Tous vos serviteurs Démons gagnent +2/+2 de façon permanente.
Pacte 5 : +2/+2 de plus.","INFERNAL RANK
Arrival: All your Demon minions permanently gain +2/+2.
Pact 5: +2/+2 more."
"Ce n'était pas une invasion. C'était le prix qu'il fallait payer.","Ce n'était pas une invasion. C'était le prix qu'il fallait payer.","It was not an invasion. It was the price that had to be paid."
"Le Gardien du Pacte Brisé","Le Gardien du Pacte Brisé","Keeper of the Broken Pact"
"Tant que ce serviteur est en jeu, les dégâts que vos propres cartes infligent à votre héros sont annulés.","Tant que ce serviteur est en jeu, les dégâts que vos propres cartes infligent à votre héros sont annulés.","While this minion is in play, damage your own cards would deal to your hero is negated."
"Il a lu chaque clause du contrat. Il a décidé qu'aucune ne s'appliquerait plus.","Il a lu chaque clause du contrat. Il a décidé qu'aucune ne s'appliquerait plus.","It read every clause of the contract. It decided none of them would apply anymore."
"Le Grand Pacte","Le Grand Pacte","The Grand Pact"
"Pacte 4 : Détruit un serviteur ennemi ciblé.","Pacte 4 : Détruit un serviteur ennemi ciblé.","Pact 4: Destroy target enemy minion."
"Il ne demande jamais la permission. Il constate simplement ce que tu es prêt à perdre.","Il ne demande jamais la permission. Il constate simplement ce que tu es prêt à perdre.","It never asks for permission. It simply notes what you are willing to lose."
"Flamme Infernale","Flamme Infernale","Infernal Flame"
"Inflige 2 dégâts à un serviteur ennemi ciblé.
Votre héros perd 1 point de vie.","Inflige 2 dégâts à un serviteur ennemi ciblé.
Votre héros perd 1 point de vie.","Deal 2 damage to target enemy minion.
Your hero loses 1 HP."
"Le feu ne fait pas de distinction. Il te lèche un peu au passage.","Le feu ne fait pas de distinction. Il te lèche un peu au passage.","Fire makes no distinctions. It licks at you a little on its way past."
"Pacte Hâtif","Pacte Hâtif","Hasty Pact"
"Votre héros perd 2 points de vie.
Piochez 2 cartes.","Votre héros perd 2 points de vie.
Piochez 2 cartes.","Your hero loses 2 HP.
Draw 2 cards."
"Signer vite coûte cher. Signer tard coûte pareil.","Signer vite coûte cher. Signer tard coûte pareil.","Signing fast costs dearly. Signing late costs just the same."
"Vague de Corruption","Vague de Corruption","Wave of Corruption"
"Inflige Corruption à tous les serviteurs ennemis en rangée Avant.","Inflige Corruption à tous les serviteurs ennemis en rangée Avant.","Inflict Corruption on all enemy minions in the Front row."
"Rien ne pourrit d'un coup. Tout pourrit, éventuellement.","Rien ne pourrit d'un coup. Tout pourrit, éventuellement.","Nothing rots all at once. Everything rots, eventually."
"Rite de Sang","Rite de Sang","Blood Rite"
"Sacrifice 1 : Votre héros vole 1 point de vie au héros adverse.","Sacrifice 1 : Votre héros vole 1 point de vie au héros adverse.","Sacrifice 1: Your hero steals 1 HP from the enemy hero."
